"Title","Link","Published","Source","Content"
"Playdead's Next Game Is A Multi-Platform '3rd-Person Science Fiction Adventure'","https://www.ign.com/articles/playdeads-next-game-is-a-multi-platform-3rd-person-science-fiction-adventure","Fri, 22 Jan 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"A Way Out","https://www.ign.com/games/a-way-out","Sat, 14 Oct 2017 21:48:14 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Indiana Jones Game Coming from Bethesda and Lucasfilm Games","https://www.ign.com/articles/indiana-jones-game-bethesda-machinegames-lucasfilm-games","Tue, 12 Jan 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Nintendo Switch My Way","https://www.ign.com/videos/nintendo-switch-my-way-clubhouse-games-51-worldwide-classics-trailer-2","Mon, 08 Feb 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Here's Every Game We Reviewed Last Month In One Video","https://www.ign.com/videos/heres-every-game-we-reviewed-last-month-in-one-video","Sat, 27 Feb 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Top 10 PS5 Games","https://www.ign.com/videos/top-10-ps5-games","Thu, 28 Jan 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"The Medium","https://www.ign.com/games/the-medium","Thu, 28 Jan 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Amazon Game Studios Report Details Struggles, 'Bro Culture,' Mismanagement, and Cancelled Projects","https://www.ign.com/articles/amazon-game-studios-report-details-struggles-bro-culture-mismanagement-and-cancelled-projects","Sun, 31 Jan 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Carrion End Game","https://www.ign.com/wikis/carrion/Carrion_End_Game","Sat, 23 Jan 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
"Perfect Dark Design Director Leaves The Initiative, Rejoins Insomniac Games","https://www.ign.com/articles/perfect-dark-design-director-leaves-the-initiative","Tue, 02 Feb 2021 08:00:00 GMT","IGN","Sorry but something about this request looked a bit suspicious, and we block suspicious stuff."
