"Title","Link","Published","Source","Content"
"Capital: Definition, How It's Used, Structure, and Types in Business","https://www.investopedia.com/terms/c/capital.asp","Sun, 02 Apr 2017 12:41:48 GMT","Investopedia",""
"Stanford Graduate School of Business","https://www.investopedia.com/terms/s/stanford.asp","Sat, 25 Mar 2017 17:58:03 GMT","Investopedia",""
"Retail Investors are Underperforming the Market","https://www.investopedia.com/retail-investors-are-underperforming-the-market-5118497","Fri, 26 Mar 2021 07:00:00 GMT","Investopedia",""
"Dave Portnoy Helps Launch New BUZZ ETF that Tracks Hyped Stocks","https://www.investopedia.com/dave-portnoy-helps-launch-new-buzz-etf-that-tracks-hyped-stocks-5115095","Wed, 03 Mar 2021 08:00:00 GMT","Investopedia",""
"Tuck School of Business Definition","https://www.investopedia.com/terms/t/tuck.asp","Sun, 26 Mar 2017 05:09:16 GMT","Investopedia",""
"Melt-Up: Definition, How They Work, Causes, and Examples","https://www.investopedia.com/terms/m/melt-up.asp","Sun, 26 Mar 2017 05:08:11 GMT","Investopedia",""
"Bag Holder Definition and Psychological Analysis","https://www.investopedia.com/terms/b/bag-holder.asp","Sun, 26 Mar 2017 08:14:45 GMT","Investopedia",""
"Exercise: Definition and How It Works With Options","https://www.investopedia.com/terms/e/exercise.asp","Sun, 26 Mar 2017 07:52:16 GMT","Investopedia",""
"Carroll School of Management Definition","https://www.investopedia.com/terms/c/carroll-school-of-management.asp","Sun, 26 Mar 2017 03:40:19 GMT","Investopedia",""
"What Is a Press Conference? Definition and Why They're Held","https://www.investopedia.com/terms/p/press-conference.asp","Sat, 25 Mar 2017 23:34:49 GMT","Investopedia",""
