Title,Link,Published,Source,Content
Apple surpasses Amazon as world's most valuable brand,https://www.businessinsider.com/apple-surpasses-amazon-as-worlds-most-valuable-brand-2021-1,"Wed, 27 Jan 2021 08:00:00 GMT",Business Insider,"For the first time in five years, the Apple brand is the most valuable in the world at $263.4 billion, surpassing Amazon and Google, according to a ranking from Brand Finance Global 500.
Apple's diversification strategy paid off, as the brand increased 87% in value last year, according to the ranking, which was first reported by MarketWatch. With Tim Cook at the helm, the brand has expanded beyond the iPhone, into services like the App Store, iCloud, Apple Podcasts, Music, TV, and Arcade. The company is reportedly planning to make a self-driving electric car by 2024.
Five years ago, the iPhone accounted for two-thirds of Apple's sales, but in 2020 it accounted for just half. With regard to the Apple brand's growth and diversification, Brand Finance Chief Executive David High said, ""We are witnessing it think different once again. From Mac to iPod, to iPhone, to iPad, to Apple Watch, to subscription services, to infinity and beyond.""
The tech giant is slated to report its first quarter earnings Wednesday after the market close, and analysts are expecting revenues to top the $100 billion mark for the first time in its history, with strong iPhone 12 sales to thank. After the company passed a record $2 trillion market capitalization in August, analysts are predicting the $3 trillion mark is within reach in the next 12 months.
Read more: Apple reportedly ditching its most controversial feature in the next version of the MacBook Pro shows the company's finally listening to its customers
Amazon, which now ranks second according to the report, is now valued at $254.2 billion. The 15% increase came as the company largely benefited from sales boosted by the COVID-19 pandemic as consumers stayed at home and shopped online. Google is ranked third, as it faced its first-ever revenue decline during the pandemic.
Tesla, meanwhile, took the top spot as the fastest-growing brand in the world. As other automakers struggled last year, Tesla benefited from strong sales and ramped up deliveries. The electric car-maker, which will report its fourth-quarter earnings Wednesday afternoon, is expected to close out on an historic 2020 with its first fiscal year of profitability. 
Jump to"
"Apple, Google Sued for Hosting Telegram App After Capitol Riots",https://www.businessinsider.com/apple-google-alphabet-telegram-app-store-2021-1,"Tue, 26 Jan 2021 08:00:00 GMT",Business Insider,"A former US ambassador is suing Apple and Alphabet for hosting the encrypted messaging platform Telegram on their app stores, claiming it is ""being used to intimidate, threaten and coerce members of the public."" 
Marc Ginsberg, once US ambassador to Morocco, filed the suits on behalf of his organization, the Coalition for a Safer Web, which advocates for greater regulation of extremist content online. 
The move comes weeks after both firms banned Parler, the alternative messaging service popular with conservatives, for continuing to allow ""violence-inciting content"" in the wake of the storming of the US Capitol. 
Encrypted messaging apps Telegram and Signal each saw a significant uptick in downloads after the Parler bans occurred, peaking at 9 million and 7.5 million a week, respectively. 
Unlike Facebook or Twitter, private messages on Telegram face little risk of moderation. The firm was founded in 2013 by Pavel Durov and is based in Dubai.
In Telegram channels reviewed by Insider in the wake of the riots at the US Capitol, users voiced their desire for further violence and real-world action ahead of President Biden's inauguration.
Are you a current or former Googler with more to share? You can contact this reporter securely using the encrypted messaging app Signal (+447801985586) or email (mcoulter@businessinsider.com). Reach out using a non-work device.
In a complaint against Apple filed with the Northern District court in California last week, Ginsberg claims to have suffered ""economic losses as well as emotional distress"" after being subjected to anti-Semitic abuse organized through Telegram. 
""Ambassador Ginsberg created the Coalition for a Safer Web to compel social media platforms to end their tolerance of anti-Semitism as well as their enabling of extremist groups to operate with impunity over social media,"" the suit reads. 
Bloomberg later reported that Ginsburg had filed a similar suit against Google's parent company Alphabet, in which he likewise alleged that Google ""has not taken any action against Telegram comparable to the action it has taken against Parler to compel Telegram to improve its content moderation policies.""
In both suits, Ginsburg claims Telegram was used to facilitate ""anti-Semitic and anti-Black extremism and violence during the Black Lives Matter (""BLM"") protests throughout summer of 2020."" 
""Telegram's media platform and services provide tremendous utility and value to racist and anti-Semitic groups as a tool to connect its members and to facilitate these group's ability to communicate, recruit members, plan and carry out attacks, and strike fear in its enemies.""
A Telegram spokesperson said: ""Our moderation team is constantly monitoring public activity on the platform, processing reports from users as well as proactively removing public calls for violence
""In January, over 3,000 public communities were banned for violating the company's ""no calls for violence"" policy globally. Less than 6% of the calls for violence around the world that were taken down in January were related to events in the US. Overall, less than 2% of Telegram's monthly active users are from the United States.""
Insider approached Google, Apple, and the Coalition for a Safer Web for further comment. 
Jump to"
Apple hardware executive Dan Riccio is taking on a 'new project' at the company,https://www.businessinsider.com/apple-dan-riccio-hardware-engineering-chief-transition-to-new-project-2021-1,"Mon, 25 Jan 2021 08:00:00 GMT",Business Insider,"Apple hardware chief Dan Riccio is stepping down from his role to transition to a new position as part of ""a new project,"" Apple said in a press release on Monday. He will still report to CEO Tim Cook.
John Ternus will take over as the company's senior vice president of hardware engineering after acting as vice president since 2013. He joined the company's product design team in 2001, per the release, and oversaw the development of the iPhone 12 line.
Read more: Apple is reportedly ramping up its electric vehicle project. Here are the 3 auto companies that are most likely to build the car, experts say.
""Every innovation Dan has helped Apple bring to life has made us a better and more innovative company, and we're thrilled that he'll continue to be part of the team,"" Cook said in the press release. ""John's deep expertise and wide breadth of experience make him a bold and visionary leader of our Hardware Engineering teams.""
Riccio has been at Apple since 1998, according to his LinkedIn profile, and played a role in the company's iPad hardware engineering. He took over as Senior Vice President of Hardware Engineering after Bob Mansfield left the role in 2012.
Riccio's new role or the project he will be working on was not disclosed, but he will be a vice president of the engineering division moving forward, per Mac Rumors.
The job transition announcement comes as Apple is rumored to be working on an electric vehicle.
Reuters reported last month that Apple is aiming for a 2024 release date, and Bloomberg reported that timeline to be anywhere between 2025 and 2027. Experts say Tesla, Volkswagen, and Magna Steyr are the most automakers most likely to build Apple's electric car. Hyundai has said it was also in talks with the company to take on the project.
Jump to"
Qualcomm will pay $1.4 billion for startup founded by ex-Apple employees,https://www.businessinsider.com/qualcomm-acquired-a-startup-founded-by-ex-apple-employees,"Thu, 14 Jan 2021 08:00:00 GMT",Business Insider," 
Qualcomm Technologies has announced it will acquire Nuvia, a two-year-old chip startup company established by former Apple executives, for $1.4 billion.
The California-based chipmaker said Wednesday it plans to use Nuvia's technology in its flagship smartphones, next-generation laptops, auto components and other electronics gear.  
The acquisition agreement comes as Qualcomm doubles-down on chip performance and consumer demand grows for more powerful mobile computing with the rollout of the faster and more reliable 5G wireless networks. 
Read more: What is 5G? Here's what you need to know about the latest cellular network generation
It also comes during a period of change at Qualcomm. Earlier this month, the company announced Steve Mollenkopf was retiring as CEO and will be replaced by current President Cristiano Amon. Mollenkopf has worked for the chip-making giant for 26 years, and became CEO in 2014.
Nuvia founders Gerard Williams III, John Bruno, Manu Gulati, and their employees will be joining Qualcomm, according to the press release. 
Nuvia has been developing custom CPU core design for servers, but Qualcomm said it intends to inter grate the technology broadly. ""NUVIA CPUs are expected to be integrated across Qualcomm Technologies' broad portfolio of products, powering flagship smartphones, next-generation laptops, and digital cockpits, as well as Advanced Driver Assistance Systems, extended reality and infrastructure networking solutions,"" the press release said. 
In 2019, Apple filed a lawsuit against one of Nuvia's founders Gerad Williams III who was a former Apple employee and left the company after over nine years as chief architect for the customer processors that power iPhones and iPads to start Nuvia.
The lawsuit alleged that Williams breached an intellectual property agreement and a duty of loyalty to Apple by launching Nuvia while on company time at Apple and speaking with colleagues who eventually joined the startup.
In January 2020, Judge Mark H. Pierce issued a tentative ruling barring Apple from seeking punitive damages but allowing the case to proceed regardless. Later that month, Williams failed to persuade the court to dismiss Apple's complaint accusing him of using company resources to create Nuvia, according to Bloomberg.
Apple engaged in a legal battle with Qualcomm as well. In 2019, both companies settled their disputes over Qualcomm's patent licensing practices that went on for two years.
In September 2020, Nuvia said it raised $240 million in a Series B round led by Mithril Capital and Sehat Sutardja and Weili Dai, founders of Marvell Technology Group. 
Jump to"
Apple CEO Tim Cook says Trump should be held accountable for the Capitol Hill riots: 'No one is above the law',https://www.businessinsider.com/apple-tim-cook-trump-should-be-accountable-capitol-siege-2021-1,"Tue, 12 Jan 2021 08:00:00 GMT",Business Insider,"Apple CEO Tim Cook says President Donald Trump should be held accountable for the riots on Capitol Hill last week. 
In an interview with ""CBS This Morning"" that aired Tuesday, host Gayle King asked Cook where he stands on the issue of Trump's role in the insurrection, which resulted in five deaths and dozens of arrests. The brief interview was part of a larger story that will air on the program Wednesday morning. 
""I think no one is above the law,"" Cook said. ""I mean, that's the great thing about our country, we're a rule of law country. I think everyone that had a part in it needs to be held accountable."" 
""I don't think we should let it go,"" Cook added.
Read more: How Apple, Google, and other browser makers are quietly duking it out over the future of the web
Cook spoke out on Twitter following the riots last Wednesday, tweeting that the day was ""a sad and shameful chapter in our nation's history.""
And over the weekend, Apple banned the social media app Parler from the App Store after it failed to remove content that promoted violence. Parler, which bills itself as a ""free speech"" app, has surged in popularity among Trump's supporters and members of the far-right after mainstream social media apps began to crack down on hate-speech and misinformation. The app was used to coordinate the attacks in Washington, DC. 
""We have always supported diverse points of view being represented on the App Store, but there is no place on our platform for threats of violence and illegal activity,"" Apple said in a statement at the time. ""Parler has not taken adequate measures to address the proliferation of these threats to people's safety.""
You can watch Cook's conversation with King below: 
 
Jump to"
"Does Apple Music Have Podcasts? Not Really, and Here's Why",https://www.businessinsider.com/guides/streaming/does-apple-music-have-podcasts,"Mon, 11 Jan 2021 08:00:00 GMT",Business Insider,"iTunes helped revolutionize the digital music and streaming experience. But with the macOS Catalina upgrade, Apple ushered in a new era for media platforms. While the iTunes media library once boasted an array of tracks and albums from independent artists to musical titans, it also featured videos, podcasts, and audiobooks.  
The update to Catalina, however, introduced four separate apps: Apple Music, Apple TV, Apple Podcasts, and Apple Books. This shift toward standalone apps has left some wondering if there's any overlap in content, including whether there are podcasts on Apple Music. 
Here's what you need to know about Apple music and podcasts. 
While Apple Music contains more than 50 million songs from artists of all genres, fans of podcasts will need to download Apple Podcasts. This app is for fans of the format and boasts millions of episodes of recorded shows for users to listen, subscribe to, and download for free. While you might find random episodes of a few podcasts in Apple Music, this genre isn't a feature of the program and Apple directs listeners to Podcasts for this reason.
As long as you have an iPhone, iPad, or iPod, you can download Apple Podcasts from the App Store and begin subscribing to your favorite shows right away (it might also already be downloaded as a default app on your home screen). The subscribe feature allows users to be notified every time a new episode of that podcast is available. You can also access podcasts through Mac computers running iOS Catalina as well as on your Apple TV. 
There are a wide variety of podcasts to choose from, from science, history, and news topics to scripted fiction, comedy, meditation, and panel discussion. Some podcasts choose to focus on true crime stories while others focus in on topics such as baking or TV shows like ""The Walking Dead."" 
Should you come across a podcast you like, simply tap on it, then tap the ""Subscribe"" button to receive updates for when new episodes are available. If you have an active internet connection when listening, you can simply tap a given episode to listen right away.
Otherwise, if you plan to listen while on a long-haul flight or when on vacation with no service, you can tap the plus symbol to download the episode for offline listening.
Jump to"
Here's Which Apple Watches Work With Which iPhones,https://www.businessinsider.com/guides/tech/what-apple-watches-work-with-which-iphones,"Thu, 14 Jan 2021 08:00:00 GMT",Business Insider,"The Apple Watch does a lot more than just tell the time. When paired with an iPhone, the Watch can send texts, make calls, act as your credit card, play music from anywhere, and more.
Unfortunately, not much of this works without an iPhone. And even more unfortunately, not every Apple Watch works with every iPhone.
The Apple Watch was designed to be a companion to your iPhone. This means that if you don't have the right phone, your Watch will be just that — a watch.
As of this writing, Apple only sells three types of Apple Watches: The Apple Watch Series 3, Series 6, and SE. That said, if you go to a third-party seller, you can easily find other models (like 2019's Series 5).
Keep in mind, however, that these other models aren't supported by Apple anymore. This means that they might not be able to run all apps, or install all watchOS updates.
Here's a rundown of every Apple Watch ever released, and what kind of iPhone (and version of iOS) you'll need to unlock all their features.
Quick tip: If you're not sure what type of iPhone you currently have, or what version of iOS you're running, you can check easily.
Open your Settings app and tap ""General."" Then tap ""About"" at the top of the page. In the list that appears, the type of iPhone you have will be listed next to ""Model Name."" The current iOS version will be listed next to ""Software Version.""


The first Apple Watch came out in early 2015, in gold and rose gold with a black or white cap. You can snatch some versions for less than $100, but it comes without GPS.
The 1st Generation Apple Watch will work with an iPhone 5 or newer, running iOS 8.2 or newer.
Series 1 released in 2016 with less aesthetic options, and no built-in GPS.
The Apple Watch Series 1 will work with an iPhone 5 or newer, with at least iOS 11 installed.
Series 2, also released in 2016, came with a built-in GPS and water resistance up to 50 meters, the current standard for Apple Watches.
The Apple Watch Series 2 will work with an iPhone 5 or newer, with at least iOS 11 installed.
The Series 3 is still being sold today. At $199, it's the cheapest available but has the fewest features. 
When it was originally released, you could buy an Apple Watch Series 3 with cellular capabilities — this lets you send messages or make calls even when away from your iPhone. Apple doesn't sell the cellular version of the Watch anymore, but you can buy it from third-party sellers.
The Apple Watch Series 3 requires an iPhone 6s or newer, running at least iOS 14. Some older, used models may be compatible with iPhone 6 and older iOS versions, but that's not a sure thing.
Series 4, released in 2018, also came in a cellular and non-cellular version.
The Apple Watch Series 4 requires an iPhone 6 or newer with iOS 12 or newer.
The Series 5 introduced a built-in compass, emergency calling, and the bright, ""always-on"" retina display later used for the Series 6. 
This Apple Watch needs an iPhone 6s or newer with iOS 13 or newer.
At $399, the Series 6 is the priciest current model. This model is perfect for health nuts, as it monitors your blood oxygen level and includes an electrocardiogram app.
This Apple Watch requires an iPhone 6s or newer, running iOS 14 or newer.
The Apple Watch SE has many of the same features as the Series 6, but with a lighter price tag ($279).
This Apple Watch requires an iPhone 6s or newer, running iOS 14 or newer.
Insider Inc. receives a commission when you buy through our links.
Jump to"
"Trump's executive disclosures show $6,000 gift from Tim Cook",https://www.businessinsider.com/trump-gift-from-apple-ceo-tim-cook-mac-pro-computer-2021-1,"Thu, 21 Jan 2021 08:00:00 GMT",Business Insider," 
President Donald Trump famously declined to release his tax returns — even after The New York Times did it for him. But his executive-branch financial disclosures released Wednesday, provide a window into Trump's assets and liabilities and a snapshot of several gifts he accepted during his time in office.
David Enrich of The New York Times pointed out on Twitter that one of the gifts disclosed was a Mac Pro from Apple CEO Tim Cook with a listed valuation of $5,999.
While other business leaders have distanced themselves from Trump, Cook enjoyed a relatively cozy relationship with the president up until the attack on the Capitol earlier this month. In August 2019, Trump told Fox Business that Cook always called him directly, unlike other CEOs. Cook, when asked about his relationship with Trump, said he believed in ""direct communication.""
He used this direct communication to lobby Trump to exempt Apple from Chinese import tariffs in 2019, and the company received tariff-exemption approval on its Apple Watch and several other products, The New York Times reported.
Trump also misleadingly touted his close relationship with Apple as evidence of his manufacturing prowess. After a November 2019 tour of a Texas plant that manufactured Apple products, Trump tweeted, ""Today I opened a major Apple Manufacturing plant in Texas that will bring high paying jobs back to America.""
But the facility had produced Apple products since 2012 and was owned by a company called Flex that contracted with Apple, Insider previously reported.
In recent weeks, Cook — who held a fundraiser for Hillary Clinton in 2016 — appears to have distanced himself from Trump in the wake of the attack on the Capitol. On January 6, the CEO tweeted that the day's events were ""sad and shameful.""
In the executive disclosures, the gift from Cook is recorded as a ""Mac Pro Computer, the first created at the Flex Factory in Austin Texas."" But the claim that it's the first Mac Pro manufactured at the facility seems misleading. The Verge reported the Flex factory in Texas first assembled a Mac Pro in 2013. The disclosure may be referring to the 2019 model of the Mac Pro, which was a redesigned model.
Of the 10 gifts Trump disclosed, the Mac Pro is the second most valuable. He listed a ""bronze statue depicting flag raising over Iwo Jima"" worth $25,970, given by a representative of the Greatest Generations Foundation. He also reported four gifts of golf clubs, one from Boeing CEO Dennis Muilenburg, and a UFC belt courtesy of Colby Covington.
More broadly, these disclosures showed Trump's businesses took a hit during the pandemic. Insider reported Thursday that despite a 13% revenue growth at Mar-a-Largo, the revenue for Trump International Hotel in Washington declined and the majority of Trump golf courses suffered losses of 10% or more from 2019 to 2020.
Jump to"
"How to play Jackbox games on a TV, whether you're using a gaming console, computer, or streaming device",https://www.businessinsider.com/guides/streaming/how-to-play-jackbox-on-tv,"Tue, 05 Jan 2021 08:00:00 GMT",Business Insider,"Jackbox, a purveyor of party games, is best seen on a TV for the excitement of watching your silly drawings, clever wit, and inside jokes play out on the big screen. And whether you realize it or not, you likely already have access to one of many methods available for playing a Jackbox party pack or standalone game on a TV. 
But before you learn how to play through your TV, you'll want to confirm which games are compatible with your device. This will help you make the best decision setting up play through your big screen. To do this, just click on the game or party pack you want to purchase and scroll to the compatibility section beneath the game or pack's description. If you see your platform or device listed, you're ready to buy. 
Once you've made your purchase, ensure you also have a device like another iPad, computer, or smartphone available to log into Jackbox.TV, as that's how you'll enter your answers, make your drawings, and vote on the best of the bunch each round.
Here's how you can play Jackbox on a TV.
If you own a Nintendo Switch, Playstation 3, 4, or 5,  Xbox One, or Xbox Series S/X, these consoles all support hosting some or all of the games in the Jackbox catalog through their respective stores. Download Jackbox games to your console and, if an HDMI cable is required, connect it from your TV to your console to play — just like you would with other games.
Jackbox can also be played directly on Apple TV and iPad with the app version. To play the game on your iPad, you want to mirror it to your Apple TV using AirPlay. For iPad users with Google Home, you can also cast the game on your TV through the app's built-in mirroring tool. 
Amazon Fire TV users can simply purchase the Jackbox app from Amazon and play straight from their TV, while Android TV users can also purchase the Jackbox app in the Google Play Store and start having fun through their compatible TVs.
The Steam, Humble, and Fanatical gaming platforms all have Jackbox available to download for PC, Mac, and Linux users. Epic Games also offers Jackbox for PC and Mac devices. Once purchased, you'll be able to access the games from your purchase library. 
To play games from these platforms on your TV, you'd just need to connect your computer to your TV with an HDMI cord, use screen-mirroring tools from AirPlay on your Mac, or cast from your Mac or PC with Chromecast.  
Jump to"
"Tim Cook takes swipe at Facebook for creating ""social catastrophe""",https://www.businessinsider.com/tim-cook-takes-swipe-at-facebook-social-catastrophe-2021-1,"Fri, 29 Jan 2021 08:00:00 GMT",Business Insider,"Apple's privacy war with Facebook is escalating again.
CEO Tim Cook on Thursday launched an attack on business models that prioritize engagement above all and gather user data to target users with advertising.
""Technology does not need vast troves of personal data, stitched together across dozens of websites and apps, in order to succeed,"" he said in a speech to the European Computers, Privacy and Data Protection Conference. ""Advertising existed and thrived for decades without it. And we're here today because the path of least resistance is rarely the path of wisdom.""
While he did not mention Facebook by name, it appeared fairly clear he was referring to the social-media company.
""At a moment of rampant disinformation and conspiracy theories juiced by algorithms, we can no longer turn a blind eye to a theory of technology that says all engagement is good engagement — the longer the better — and all with the goal of collecting as much data as possible,"" Cook said.
""It is long past time to stop pretending that this approach doesn't come with a cost — of polarization, of lost trust, and, yes, of violence. A social dilemma cannot be allowed to become a social catastrophe,"" he added. That comment seemed to allude to the Netflix documentary ""The Social Dilemma,"" which examined social-media companies that monetize users' attention. The film prompted a response from Facebook, which dismissed it as sensationalist.
The Apple CEO seemed to call on lawmakers to regulate Facebook. ""If a business is built on misleading users, on data exploitation, on choices that are no choices at all, then it does not deserve our praise,"" he said. ""It deserves reform.""
Apple and Facebook have been at loggerheads since August, when Apple announced plans to begin forcing iPhone apps to ask users for consent before tracking them for advertising purposes.
This privacy update was originally scheduled to roll out with iOS 14 in September, but Apple delayed it after Facebook protested, saying the update would decimate its and other developers' ad revenue. Apple this week said the feature would finally roll out in early spring. Insider reported in December that the company was seeking a March release date.
Facebook CEO Mark Zuckerberg attacked Apple during a Facebook earnings call Wednesday, accusing the iPhone maker of making ""misleading"" promises about its privacy practices.
News broke Thursday that Facebook was preparing an antitrust lawsuit against Apple over its App Store rules for third-party developers. This fit with comments in which Zuckerberg accused Apple of abusing its App Store dominance.
Jump to"
