Date,Interest Rates (Fed Funds Rate),Inflation (CPI),GDP Growth Rate,M2 Money Supply,Federal Expenditures,Unemployment Rate
2005-06-01,3.04,193.7,2.0,6511.8,2578.686,5.0
2005-07-01,3.26,194.9,3.2,6543.7,2617.33,5.0
2005-08-01,3.5,196.1,3.2,6576.5,2617.33,4.9
2005-09-01,3.62,198.8,3.2,6610.3,2617.33,5.0
2005-10-01,3.78,199.1,2.2,6644.1,2649.819,5.0
2005-11-01,4.0,198.1,2.2,6660.8,2649.819,5.0
2005-12-01,4.16,198.1,2.2,6688.0,2649.819,4.9
2006-01-01,4.29,199.3,5.5,6730.3,2728.184,4.7
2006-02-01,4.49,199.4,5.5,6754.9,2728.184,4.8
2006-03-01,4.59,199.7,5.5,6769.5,2728.184,4.7
2006-04-01,4.79,200.7,1.0,6807.0,2749.085,4.7
2006-05-01,4.94,201.3,1.0,6813.9,2749.085,4.6
2006-06-01,4.99,201.8,1.0,6852.1,2749.085,4.6
2006-07-01,5.24,202.9,0.6,6893.9,2775.712,4.7
2006-08-01,5.25,203.8,0.6,6925.3,2775.712,4.7
2006-09-01,5.25,202.8,0.6,6952.6,2775.712,4.5
2006-10-01,5.25,201.9,3.5,7002.0,2789.906,4.4
2006-11-01,5.25,202.0,3.5,7037.5,2789.906,4.5
2006-12-01,5.24,203.1,3.5,7080.4,2789.906,4.4
2007-01-01,5.25,203.437,1.2,7118.5,2869.326,4.6
2007-02-01,5.26,204.226,1.2,7134.6,2869.326,4.5
2007-03-01,5.26,205.288,1.2,7168.5,2869.326,4.4
2007-04-01,5.25,205.904,2.5,7241.0,2905.202,4.5
2007-05-01,5.25,206.755,2.5,7254.9,2905.202,4.4
2007-06-01,5.25,207.234,2.5,7288.1,2905.202,4.6
2007-07-01,5.26,207.603,2.3,7319.0,2945.721,4.7
2007-08-01,5.02,207.667,2.3,7395.1,2945.721,4.6
2007-09-01,4.94,208.547,2.3,7413.3,2945.721,4.7
2007-10-01,4.76,209.19,2.5,7428.4,2991.765,4.7
2007-11-01,4.49,210.834,2.5,7453.8,2991.765,4.7
2007-12-01,4.24,211.445,2.5,7484.2,2991.765,5.0
2008-01-01,3.94,212.174,-1.7,7517.8,3043.522,5.0
2008-02-01,2.98,212.687,-1.7,7604.2,3043.522,4.9
2008-03-01,2.61,213.448,-1.7,7670.3,3043.522,5.1
2008-04-01,2.28,213.942,2.4,7712.8,3397.452,5.0
2008-05-01,1.98,215.208,2.4,7725.5,3397.452,5.4
2008-06-01,2.0,217.463,2.4,7744.2,3397.452,5.6
2008-07-01,2.01,219.016,-2.1,7791.5,3194.11,5.8
2008-08-01,2.0,218.69,-2.1,7806.1,3194.11,6.1
2008-09-01,1.81,218.877,-2.1,7872.7,3194.11,6.1
2008-10-01,0.97,216.995,-8.5,7975.3,3192.866,6.5
2008-11-01,0.39,213.153,-8.5,8027.3,3192.866,6.8
2008-12-01,0.16,211.398,-8.5,8205.0,3192.866,7.3
2009-01-01,0.15,211.933,-4.5,8289.4,3322.767,7.8
2009-02-01,0.22,212.705,-4.5,8319.6,3322.767,8.3
2009-03-01,0.18,212.495,-4.5,8386.7,3322.767,8.7
2009-04-01,0.15,212.709,-0.7,8391.4,3524.671,9.0
2009-05-01,0.18,213.022,-0.7,8449.5,3524.671,9.4
2009-06-01,0.21,214.79,-0.7,8459.5,3524.671,9.5
2009-07-01,0.16,214.726,1.4,8463.8,3532.903,9.5
2009-08-01,0.16,215.445,1.4,8463.3,3532.903,9.6
2009-09-01,0.15,215.861,1.4,8461.8,3532.903,9.8
2009-10-01,0.12,216.509,4.4,8488.1,3560.619,10.0
2009-11-01,0.12,217.234,4.4,8517.3,3560.619,9.9
2009-12-01,0.12,217.347,4.4,8512.5,3560.619,9.9
2010-01-01,0.11,217.488,1.9,8478.0,3710.548,9.8
2010-02-01,0.13,217.281,1.9,8527.6,3710.548,9.8
2010-03-01,0.16,217.353,1.9,8523.7,3710.548,9.9
2010-04-01,0.2,217.403,3.9,8555.1,3745.711,9.9
2010-05-01,0.2,217.29,3.9,8609.3,3745.711,9.6
2010-06-01,0.18,217.199,3.9,8628.4,3745.711,9.4
2010-07-01,0.18,217.605,3.1,8639.8,3792.438,9.4
2010-08-01,0.19,217.923,3.1,8688.2,3792.438,9.5
2010-09-01,0.19,218.275,3.1,8718.9,3792.438,9.5
2010-10-01,0.19,219.035,2.1,8768.7,3809.804,9.4
2010-11-01,0.19,219.59,2.1,8789.3,3809.804,9.8
2010-12-01,0.18,220.472,2.1,8822.9,3809.804,9.3
2011-01-01,0.17,221.187,-0.9,8845.2,3811.263,9.1
2011-02-01,0.16,221.898,-0.9,8909.0,3811.263,9.0
2011-03-01,0.14,223.046,-0.9,8967.0,3811.263,9.0
